Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
,,,,,Wrong Year,,TI00916992,13/07/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00917182,14/07/2020,6883,,11/05/2020,17/05/2020,483,0.105,50.72,0.0,50.72,,P7 2020 FRESH MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,Account No J969CARRS CHEESE MELTS 2 FOR £2 BUYER FRANCESCA HAYES,,TI00918216,16/07/2020,,,06/07/2020,12/07/2020,2139,0.126,269.51,0.0,269.51,,P10 2020 Ambient MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,Account No J969CARRS CHEESE MELTS 2 FOR £2 BUYER FRANCESCA HAYES,,TI00919476,23/07/2020,,,13/07/2020,19/07/2020,2149,0.126,270.77,0.0,270.77,,P10 2020 Ambient MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,Wrong Year,,TI00919607,24/07/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESS HELEN KERFOOT,,TI00919789,24/07/2020,,,06/07/2020,12/07/2020,,810.00,85.05,0.0,85.05,,P10 2020 FRESH MULITI TCG ONLY WK 1,Automatic
,,,,,Account No J969CARRS CHEESE MELTS 2 FOR £2 BUYER FRANCESCA HAYES,,TI00922279,30/07/2020,,,20/07/2020,26/07/2020,2070,0.126,260.82,0.0,260.82,,P10 2020 Ambient MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,Wrong Year,,TI00923763,07/08/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,GODIVA DARK CHOC 72% 9G PRICE PROMOTION KERRIE VIG 56.70 |20.0GARS,,TI00924546,10/08/2020,,,27/07/2020,02/08/2020,210.00,0.270,56.70,0.19999999999999998,68.04,,P11 2020 AMBIENT MULITI TCG ONLY WK 1,Automatic
,,,,,KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESS HELEN KERFOOT,,TI00925410,14/08/2020,,,27/07/2020,02/08/2020,802.00,0.105,84.21,0.0,84.21,,P11 2020 FRESH MULITI TCG ONLY WK 1,Automatic
,,,,,Wrong Year,,TI00925842,18/08/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00926452,19/08/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESS HELEN KERFOOT ONLY 3.50 OR LESS HELEN KERFOOT,,TI00928204,21/08/2020,,,03/08/2020,09/08/2020,721.00,0.105,75.70,0.0,75.70,,P11 2020 FRESH MULITI TCG ONLY WK 2,Automatic
,,,,,MCVITIE’S GO AHEAD YOGURT BREAKS FOREST FRUIT 5PK 8996.50 8996.50PRICE PROMOTION FRANCESCA HAYES,,TI00930315,28/08/2020,,,17/08/2020,23/08/2020,17993.00,0.500,8996.50,0.0,8996.50,,P12 2020 AMBIENT MULITI TCG ONLY WK 1,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT,,TI00931833,04/09/2020,,,17/08/2020,23/08/2020,772.00,0.105,81.06,0.0,81.06,,P12 2020 FRESH MULITI TCG ONLY WK 1,Automatic
,,,,,Wrong Year,,TI00932591,07/09/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT ONLY 3.50 OR LESS HELEN KERFOOT,,TI00934483,15/09/2020,,,24/08/2020,30/08/2020,809.00,0.105,84.94,0.0,84.94,,P12 2020 FRESH MULITI TCG ONLY WK 2,Automatic
,,,,,Wrong Year,,TI00936265,18/09/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00938538,24/09/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT,,TI00939334,25/09/2020,,,07/09/2020,13/09/2020,781.00,0.105,82.00,0.0,82.00,,P13 2020 FRESH MULITI TCG ONLY WK 1,Automatic
,,,,,GO AHEAD CRISPY FRUIT SLICES APPLE & SULTANA 6X43.6G/ FOREST 6X43.6G PRICE PROMOTION FRANCESCA HAYES,,TI00940344,01/10/2020,,,31/08/2020,06/09/2020,184.00,0.560,103.04,0.0,103.04,,P12 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,Wrong Year,,TI00944191,08/10/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT,,TI00945763,15/10/2020,,,28/09/2020,04/10/2020,664.00,0.105,69.72,0.0,69.72,,P14 2020 FRESH MULITI TCG ONLY WK 1,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT ONLY 3.50 OR LESS HELEN KERFOOT,,TI00949174,22/10/2020,,,05/10/2020,11/10/2020,719.00,0.105,75.50,0.0,75.50,,P14 2020 FRESH MULITI TCG ONLY WK 2,Automatic
,,,,,Wrong Year,,TI00951050,29/10/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00951719,30/10/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00953880,05/11/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,MCVITIE’S DARK CHOC DIGS 433G/ MILK DIG 433G PRICE 499.68 |20.0PROMOTION FRANCESCA HAYES,,TI00956465,11/11/2020,,,12/10/2020,18/10/2020,720.00,0.694,499.68,0.2000080051232789,599.62,,P14 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,JACOBS KP MINI CHDRS BIG BAG 5G ONLY 3.50 OR LESSHELEN KERFOOT ONLY 3.50 OR LESS HELEN KERFOOT,,TI00956845,12/11/2020,,,26/10/2020,01/11/2020,631.00,0.105,66.26,0.0,66.26,,P15 2020 FRESH MULITI TCG ONLY WK 2,Automatic
,,,,,Wrong Year,,TI00958306,16/11/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00959361,19/11/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00961159,26/11/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,MCVITIE’S DARK CHOC DIGS 266G/ MILK 266G PRICE PR 663.04 |20.0OMOTION FRANCESCA HAYES,,TI00962034,27/11/2020,,,02/11/2020,08/11/2020,1792.00,0.370,663.04,0.20000301640926643,795.65,,P15 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,Wrong Year,,TI00964708,03/12/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00973451,24/12/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00975769,31/12/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00978088,07/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00978526,08/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00982458,21/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00983871,22/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00984156,25/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,MCVITIE’S VICTORIA CARTON 6G PRICE PROMOTION FRANC 642.18 |20.0ESCA HAYES,,TI00985031,26/01/2021,,,21/12/2020,27/12/2020,278.00,2.310,642.18,0.2000062287832072,770.62,,P17 2020 AMBIENT MULITI FRANCHISE ONLY WK 4,Automatic
,,,,,Wrong Year,,TI00985734,28/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00987334,03/02/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00988117,04/02/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00990810,11/02/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00992518,18/02/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00994382,25/02/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00997372,04/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00997606,05/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00998628,09/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01000908,12/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01001770,18/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01002521,19/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01004633,25/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01005671,29/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01005702,30/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01007075,01/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01008172,02/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI010087,07/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01009542,08/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01012839,15/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01014878,21/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01017520,29/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01020058,06/05/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01022274,14/05/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01024459,20/05/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01026698,26/05/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01027297,27/05/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01028888,03/06/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01030523,07/06/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01032067,10/06/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01034481,17/06/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01036252,24/06/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01038693,01/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01040279,08/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01043554,15/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01044500,22/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01045960,28/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01046885,29/07/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01047711,04/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01048525,05/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01054957,20/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01056172,24/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01056600,26/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01058155,02/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01059374,06/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01060043,08/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01060726,09/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01061672,10/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01065110,23/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01067004,30/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01068633,06/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01070449,07/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01072094,08/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01073041,12/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01073558,14/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01074022,15/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01074835,18/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01075382,19/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01075850,21/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01078394,28/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01079302,29/10/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01080563,04/11/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01082668,10/11/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01083181,11/11/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01085561,18/11/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01087183,25/11/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01089594,01/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01090105,02/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01091419,03/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01092678,08/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01092914,09/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01094205,10/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01095670,16/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01096314,17/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01096714,21/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01097250,22/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01097680,23/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01099588,30/12/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00798360,05/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00825756,04/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01015292,22/04/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01051421,12/08/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI01063064,16/09/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,MCVITIES RICH TEA BISCUITS 3G BUY ANY 2 FOR 2 FRANCESCA HAYES,,TIO00903552,29/05/2020,,,20/04/2020,26/04/2020,,167.00,36.74,0.0,36.74,,P6 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,FLIPZ DARK CHOCOLATE PRETZELS PRICE PROMOTION BUY 2917.34 |20.0 : 3500.81ER FRANCESCA HAYES,,TIO0860585,16/01/2020,,,06/01/2020,12/01/2020,5191,0.562,2917.34,0.2000006855560202,3500.81,,P1 2020 Ambient MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIO0865051,30/01/2020,,,13/01/2020,19/01/2020,1096,0.105,115.08,0.0,115.08,,P2 2020 Fresh MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,Wrong Year,,TIO0866025,31/01/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIO0883062,26/03/2020,,,09/03/2020,15/03/2020,979,0.105,102.80,0.0,102.80,,P4 2020 FRESH MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIO0904569,04/06/2020,,,18/05/2020,24/05/2020,331,0.105,34.76,0.0,34.76,,P8 2020 FRESH MULTI TCG ONLY WK 1 of 3,Automatic
